reviewer_name,rating,review_text,date,review_source,extraction_timestamp,review_detected_lang,review_translated
Ceniya J,5/5,"While Marina Bay Sands dazzles visitors with its luxury shopping, world-class restaurants, and breathtaking architecture, my lasting memory comes from a group often overlooked: the housekeeping team.

During what was otherwise a very difficult trip, these professionals became the highlight of my stay. The scale of their work is extraordinary—cleaning massive, high-tech rooms with meticulous precision, restocking coolers and amenities, and ensuring no detail is overlooked, all within tight time frames. As someone with severe OCD, I notice everything, and I was genuinely in awe.

One housekeeper, in particular, came to refill my ice bucket—something I didn’t even need—yet she bowed repeatedly and apologized as though she were inconveniencing me. Her humility and dedication were deeply touching. Later, another staff member surprised me with a vegan birthday cake, complete with a candle. I had forgotten it was even my birthday, but that thoughtful gesture nearly brought me to tears. It wasn’t just a dessert; it was a reminder that I was seen and valued.

In a hotel renowned for grandeur, it’s the quiet diligence of the housekeeping team that, in my view, forms the true backbone of Marina Bay Sands. They made me feel special, cared for, and genuinely welcome. I would return not just for the stunning rooms, but to personally thank and see these remarkable individuals again.

Thank you so much for this experience, it made my birthday trip.","a month ago on
Google",Google,2025-09-13 10:00:43,en,"While Marina Bay Sands dazzles visitors with its luxury shopping, world-class restaurants, and breathtaking architecture, my lasting memory comes from a group often overlooked: the housekeeping team.

During what was otherwise a very difficult trip, these professionals became the highlight of my stay. The scale of their work is extraordinary—cleaning massive, high-tech rooms with meticulous precision, restocking coolers and amenities, and ensuring no detail is overlooked, all within tight time frames. As someone with severe OCD, I notice everything, and I was genuinely in awe.

One housekeeper, in particular, came to refill my ice bucket—something I didn’t even need—yet she bowed repeatedly and apologized as though she were inconveniencing me. Her humility and dedication were deeply touching. Later, another staff member surprised me with a vegan birthday cake, complete with a candle. I had forgotten it was even my birthday, but that thoughtful gesture nearly brought me to tears. It wasn’t just a dessert; it was a reminder that I was seen and valued.

In a hotel renowned for grandeur, it’s the quiet diligence of the housekeeping team that, in my view, forms the true backbone of Marina Bay Sands. They made me feel special, cared for, and genuinely welcome. I would return not just for the stunning rooms, but to personally thank and see these remarkable individuals again.

Thank you so much for this experience, it made my birthday trip."
Lovely Pink,5/5,"this is my first time come sg，and Absolutely Wonderful Stay!
I had an amazing experience at this hotel. The staff were incredibly friendly, professional, and always ready to help. The room was clean, spacious, and very comfortable. I especially loved the attention to detail in the decor and amenities provided. The location was perfect—convenient to everything I needed, yet peaceful and quiet at night. The breakfast was delicious with a good variety of options. I truly felt welcomed and well taken care of. Highly recommended and would definitely stay here again!","a month ago on
Google",Google,2025-09-13 10:00:49,en,"this is my first time come sg，and Absolutely Wonderful Stay!
I had an amazing experience at this hotel. The staff were incredibly friendly, professional, and always ready to help. The room was clean, spacious, and very comfortable. I especially loved the attention to detail in the decor and amenities provided. The location was perfect—convenient to everything I needed, yet peaceful and quiet at night. The breakfast was delicious with a good variety of options. I truly felt welcomed and well taken care of. Highly recommended and would definitely stay here again!"
ChuLuxe Explorer,5/5,"Marina Bay Sands is one of the most stunning places I’ve visited in Singapore. That day I spent time walking around, enjoying the view, and taking photos. The architecture is so iconic and the whole place feels elegant and beautifully designed. Even just strolling along the promenade was relaxing and memorable.

What made the day truly unforgettable was having dinner at the rooftop bar, right at the highest point of the building. The view was absolutely breathtaking. I watched the sunset paint the sky in warm colors, followed by a full moon rising above the city skyline. It was one of those moments that just takes your breath away. Everything felt magical. The atmosphere, the view, the food, the soft breeze,  it all came together perfectly.

Whether you’re staying at the hotel or just visiting, this is a place you should not miss. It’s a must-see in Singapore and a memory I’ll always keep with me.","2 months ago on
Google",Google,2025-09-13 10:00:55,en,"Marina Bay Sands is one of the most stunning places I’ve visited in Singapore. That day I spent time walking around, enjoying the view, and taking photos. The architecture is so iconic and the whole place feels elegant and beautifully designed. Even just strolling along the promenade was relaxing and memorable.

What made the day truly unforgettable was having dinner at the rooftop bar, right at the highest point of the building. The view was absolutely breathtaking. I watched the sunset paint the sky in warm colors, followed by a full moon rising above the city skyline. It was one of those moments that just takes your breath away. Everything felt magical. The atmosphere, the view, the food, the soft breeze,  it all came together perfectly.

Whether you’re staying at the hotel or just visiting, this is a place you should not miss. It’s a must-see in Singapore and a memory I’ll always keep with me."
Sibiraj Nerukayil,5/5,"I had an exceptional stay at Marina Bay Sands in Singapore. Everything from check-in to check-out was smooth and professional. The room was immaculate, with stunning views and attention to detail in every corner. …","a month ago on
Google",Google,2025-09-13 10:01:02,en,"I had an exceptional stay at Marina Bay Sands in Singapore. Everything from check-in to check-out was smooth and professional. The room was immaculate, with stunning views and attention to detail in every corner. …"
Shilpa Kalla,5/5,It is an excellent hotel. Superbly maintained. Cannot say enough good things about this hotel. The care they take from the moment you walk in continues throughout. They are truly a class apart in their hospitality and maintenance. Every …,"a month ago on
Google",Google,2025-09-13 10:01:08,en,It is an excellent hotel. Superbly maintained. Cannot say enough good things about this hotel. The care they take from the moment you walk in continues throughout. They are truly a class apart in their hospitality and maintenance. Every …
菊地正志,5/5,"This luxury hotel in Singapore is a timeless classic that I find myself returning to again and again.
No matter how many times I visit, I'm always blown away by its unmatched sense …","a month ago on
Google",Google,2025-09-13 10:01:14,en,"This luxury hotel in Singapore is a timeless classic that I find myself returning to again and again.
No matter how many times I visit, I'm always blown away by its unmatched sense …"
Raghu Rajaram,5/5,"A great choice of hotel in the prime location with the boat shaped infinitely pool on top as the highlight.
The entire family will have so much fun at the pool.
Rooms are really comfy and the spread at the buffet breakfast is awesome
💯 satisfied!","a month ago on
Google",Google,2025-09-13 10:01:20,en,"A great choice of hotel in the prime location with the boat shaped infinitely pool on top as the highlight.
The entire family will have so much fun at the pool.
Rooms are really comfy and the spread at the buffet breakfast is awesome
💯 satisfied!"
Lucas Seraph,5/5,"""Infinity pool on the rooftop is worth the hype—absolutely breathtaking. Rooms are modern and spotless. Located right next to shopping and attractions, so everything is within walking distance
""Iconic hotel with unbeatable views ""","a month ago on
Google",Google,2025-09-13 10:01:26,en,"""Infinity pool on the rooftop is worth the hype—absolutely breathtaking. Rooms are modern and spotless. Located right next to shopping and attractions, so everything is within walking distance
""Iconic hotel with unbeatable views """
leotrails,5/5,"This is one of the iconic spots I always visit when I’m in Singapore, and it totally lives up to the hype. From the moment I walk in, it feels like I’m stepping into something grand, boujee, and massive. The Shoppes here offer luxury shopping at its finest: sleek, shiny, and filled with high-end brands like Chanel, Gucci, and Louis Vuitton. Basically, it’s window-shopping heaven if you’re not there to splurge.

But it’s not all about designer labels. There are great dining options too, from fancy restaurants to casual cafés with beautiful views of the waterfront. And yes, the indoor canal with gondola rides adds a fun, over-the-top touch. There’s also the casino: sleek, expansive, and brimming with indulgences for those who want a premium gaming experience.

Even if you’re not buying anything, it’s a cool spot to stroll, people-watch, and soak in all the glam.","Edited a month ago on
Google",Google,2025-09-13 10:01:32,en,"This is one of the iconic spots I always visit when I’m in Singapore, and it totally lives up to the hype. From the moment I walk in, it feels like I’m stepping into something grand, boujee, and massive. The Shoppes here offer luxury shopping at its finest: sleek, shiny, and filled with high-end brands like Chanel, Gucci, and Louis Vuitton. Basically, it’s window-shopping heaven if you’re not there to splurge.

But it’s not all about designer labels. There are great dining options too, from fancy restaurants to casual cafés with beautiful views of the waterfront. And yes, the indoor canal with gondola rides adds a fun, over-the-top touch. There’s also the casino: sleek, expansive, and brimming with indulgences for those who want a premium gaming experience.

Even if you’re not buying anything, it’s a cool spot to stroll, people-watch, and soak in all the glam."
Ngọc Báu,5/5,"1. The Landscape – Clean, Refined, and Aesthetically Pleasing

What struck me most upon arriving in Singapore was how neatly orchestrated everything felt — as if every corner had been thoughtfully composed. The city is meticulously planned yet still breathes with nature. Green spaces are not just “added in,” they’re woven into the very fabric of the urban environment — from vast parks to rooftop gardens and tree-lined streets.

Each district has its own flavor: Marina Bay is sleek and futuristic, Arab Street is a burst of color and culture, while Gardens by the Bay feels like stepping into a dream where technology and nature intertwine.

2. Singapore at Night – Where the City Truly Shines

If Singapore in the daytime is a pristine canvas, then nighttime turns it into a masterpiece. As the sun sets, the city transforms — illuminated by thousands of lights that reflect off glass towers and gentle waterways.

Key landmarks like Marina Bay Sands, Clarke Quay, Helix Bridge, and the lotus-shaped ArtScience Museum light up in ways that feel almost cinematic. Walking along the Singapore River at night, you can’t help but slow down — not from tiredness, but from awe. The “Spectra” light and water show at Marina Bay isn’t just a spectacle — it’s a moment that stays with you.

3. The Rhythm of Life – Energetic, Yet Graceful

Despite being a hub of finance, tech, and tourism, Singapore doesn’t feel overwhelming. People move quickly, but not anxiously. The city runs with purpose but still feels respectful, clean, and kind.

There’s a deep sense of order and mindfulness in how locals interact with public spaces — how they queue, how they keep the streets spotless, how they balance modern life with cultural roots. It's a quiet discipline that leaves a lasting impression.","2 months ago on
Google",Google,2025-09-13 10:01:38,en,"1. The Landscape – Clean, Refined, and Aesthetically Pleasing

What struck me most upon arriving in Singapore was how neatly orchestrated everything felt — as if every corner had been thoughtfully composed. The city is meticulously planned yet still breathes with nature. Green spaces are not just “added in,” they’re woven into the very fabric of the urban environment — from vast parks to rooftop gardens and tree-lined streets.

Each district has its own flavor: Marina Bay is sleek and futuristic, Arab Street is a burst of color and culture, while Gardens by the Bay feels like stepping into a dream where technology and nature intertwine.

2. Singapore at Night – Where the City Truly Shines

If Singapore in the daytime is a pristine canvas, then nighttime turns it into a masterpiece. As the sun sets, the city transforms — illuminated by thousands of lights that reflect off glass towers and gentle waterways.

Key landmarks like Marina Bay Sands, Clarke Quay, Helix Bridge, and the lotus-shaped ArtScience Museum light up in ways that feel almost cinematic. Walking along the Singapore River at night, you can’t help but slow down — not from tiredness, but from awe. The “Spectra” light and water show at Marina Bay isn’t just a spectacle — it’s a moment that stays with you.

3. The Rhythm of Life – Energetic, Yet Graceful

Despite being a hub of finance, tech, and tourism, Singapore doesn’t feel overwhelming. People move quickly, but not anxiously. The city runs with purpose but still feels respectful, clean, and kind.

There’s a deep sense of order and mindfulness in how locals interact with public spaces — how they queue, how they keep the streets spotless, how they balance modern life with cultural roots. It's a quiet discipline that leaves a lasting impression."
pamela smith,5/5,"overwhelmingly  a positive, experience with breathtaking panoramic views of the city skyline and bay, calling it a ""must-do"".
Having got there with no tickets, we were advised to buy a ticket for the restaurant which included a drink in the price, was so worth it. We went straight to the top.","2 weeks ago on
Google",Google,2025-09-13 10:01:45,en,"overwhelmingly  a positive, experience with breathtaking panoramic views of the city skyline and bay, calling it a ""must-do"".
Having got there with no tickets, we were advised to buy a ticket for the restaurant which included a drink in the price, was so worth it. We went straight to the top."
Brett Chua (ERA 93383387),5/5,"The only hotel I would gladly stay in Singapore. My last visit was superb! I wanted an earlier check in as i wasnt feeling well, and therefore took what was available on a low floor. However, as it was on the 3rd floor I could hear constant human traffic and screaming of kids by the lobby. Called up to reception and request for a move to a higher floor, and was treated with much care and concern. My relationship manager took care of it professionally and gave me higher unit almost immediately. Great service and prompt response!","3 weeks ago on
Google",Google,2025-09-13 10:01:51,en,"The only hotel I would gladly stay in Singapore. My last visit was superb! I wanted an earlier check in as i wasnt feeling well, and therefore took what was available on a low floor. However, as it was on the 3rd floor I could hear constant human traffic and screaming of kids by the lobby. Called up to reception and request for a move to a higher floor, and was treated with much care and concern. My relationship manager took care of it professionally and gave me higher unit almost immediately. Great service and prompt response!"
Deborah Newton,5/5,Brilliant place to stay and visit.  Not only a hotel but a huge shopping and entertainment venue.  Doesn't have the glitz of Vegas but it oozes luxury and refinement.  Great choice of shops and customer services is at a new level.  Shops smell amazing and choices are in abundance.  Staff are keen to help and are not over powering or pressuring to make purchases.,"2 months ago on
Google",Google,2025-09-13 10:01:57,en,Brilliant place to stay and visit.  Not only a hotel but a huge shopping and entertainment venue.  Doesn't have the glitz of Vegas but it oozes luxury and refinement.  Great choice of shops and customer services is at a new level.  Shops smell amazing and choices are in abundance.  Staff are keen to help and are not over powering or pressuring to make purchases.
Darren Lonergan,5/5,"A night out in the Casino was a great experience. Very clean with friendly staff. However getting a drink proved somewhat tiresome as have to find
a staff member to then order and bring it to you. Blue Pearl Restaurant was nice with lovely food.","a month ago on
Google",Google,2025-09-13 10:02:03,en,"A night out in the Casino was a great experience. Very clean with friendly staff. However getting a drink proved somewhat tiresome as have to find
a staff member to then order and bring it to you. Blue Pearl Restaurant was nice with lovely food."
john doo,5/5,"very convenient and accessible. went there during the holidays, and the service was very good. the rooms were very comfy, and when walking around during sunset, the views are very nice. a great place for a vacation and one that should be visited often. great job!","a month ago on
Google",Google,2025-09-13 10:02:09,en,"very convenient and accessible. went there during the holidays, and the service was very good. the rooms were very comfy, and when walking around during sunset, the views are very nice. a great place for a vacation and one that should be visited often. great job!"
Himanshu Johari,5/5,"We booked a stay at Marina Bay Sands to celebrate my son’s birthday — it was his dream to swim in the infinity pool, and we wanted to make it unforgettable. I booked two suites for our family, kids, and nieces so everyone could be part of the celebration.

The rooms and the pool were simply amazing, and the kids had the time of their lives. But what truly stood out was the exceptional service, especially from Erica, who gave us a check-in experience unlike anything I’ve had before.

We were greeted right at the car and taken directly to our suite, where the kids were welcomed with chocolates and apples. While the little ones ran around, excited and full of joy, my family and I completed the check-in formalities in the comfort of our room — no queues, no waiting, just pure ease.

From start to finish, everything about our stay was thoughtful, seamless, and special. Thank you, Marina Bay Sands, for making my son’s birthday a memory we will cherish forever.","4 weeks ago on
Google",Google,2025-09-13 10:02:15,en,"We booked a stay at Marina Bay Sands to celebrate my son’s birthday — it was his dream to swim in the infinity pool, and we wanted to make it unforgettable. I booked two suites for our family, kids, and nieces so everyone could be part of the celebration.

The rooms and the pool were simply amazing, and the kids had the time of their lives. But what truly stood out was the exceptional service, especially from Erica, who gave us a check-in experience unlike anything I’ve had before.

We were greeted right at the car and taken directly to our suite, where the kids were welcomed with chocolates and apples. While the little ones ran around, excited and full of joy, my family and I completed the check-in formalities in the comfort of our room — no queues, no waiting, just pure ease.

From start to finish, everything about our stay was thoughtful, seamless, and special. Thank you, Marina Bay Sands, for making my son’s birthday a memory we will cherish forever."
Aby G,5/5,"One of the best hotels in Singapore. Their roof top infinity pool is amazing and world renowned.
Though it is expensive it is worth visiting.
Even if you are not staying you can visit the roof deck for a fee.

There are few restaurants at the roof top but they are usually booked and require reservations.
View from top is amazing.","a month ago on
Google",Google,2025-09-13 10:02:22,en,"One of the best hotels in Singapore. Their roof top infinity pool is amazing and world renowned.
Though it is expensive it is worth visiting.
Even if you are not staying you can visit the roof deck for a fee.

There are few restaurants at the roof top but they are usually booked and require reservations.
View from top is amazing."
Bhutan Travel Center,5/5,"Visiting Marina Bay Sands, Singapore was an absolutely amazing experience — truly one of a kind! From the iconic architecture to the world-famous infinity pool, everything about the property felt unique and exceptional.
We had the best time exploring the hotel and its surroundings, with breathtaking views of the city skyline, impeccable service, and a vibrant mix of luxury, innovation, and style. It’s truly unlike any other place we've been to — bold, modern, and unforgettable.
Whether it was dining, relaxing, or simply soaking in the views, every moment was extraordinary.

We’re already looking forward to coming back again. Highly recommended for anyone looking to experience something distinct and world-class in Singapore!","2 months ago on
Google",Google,2025-09-13 10:02:28,en,"Visiting Marina Bay Sands, Singapore was an absolutely amazing experience — truly one of a kind! From the iconic architecture to the world-famous infinity pool, everything about the property felt unique and exceptional.
We had the best time exploring the hotel and its surroundings, with breathtaking views of the city skyline, impeccable service, and a vibrant mix of luxury, innovation, and style. It’s truly unlike any other place we've been to — bold, modern, and unforgettable.
Whether it was dining, relaxing, or simply soaking in the views, every moment was extraordinary.

We’re already looking forward to coming back again. Highly recommended for anyone looking to experience something distinct and world-class in Singapore!"
Casey Caswell,5/5,"We had an amazing stay at Marina Bay Sands. The hotel truly lives up to the hype, from the rooftop infinity pool to the great selection of restaurants and beautifully appointed rooms.

We stayed in a family suite, which was perfect for travelling with kids. They loved the space and having access to the babysitting service made a big difference.

Highly recommend for anyone visiting Singapore.","a month ago on
Google",Google,2025-09-13 10:02:34,en,"We had an amazing stay at Marina Bay Sands. The hotel truly lives up to the hype, from the rooftop infinity pool to the great selection of restaurants and beautifully appointed rooms.

We stayed in a family suite, which was perfect for travelling with kids. They loved the space and having access to the babysitting service made a big difference.

Highly recommend for anyone visiting Singapore."
viswesh muralitharan,5/5,"We did not stay here, but visited the roof top of the hotel. The views are amazing and they also have a coffee shop at the roof top to enjoy a sip of coffee and the views. Be there 15 mins before the ticket time to ensure a smooth experience. Also, if there is bad weather, you wouldn’t be allowed to go to the top floor, but would be refunded or choose an another day as per your choice.","a month ago on
Google",Google,2025-09-13 10:02:40,en,"We did not stay here, but visited the roof top of the hotel. The views are amazing and they also have a coffee shop at the roof top to enjoy a sip of coffee and the views. Be there 15 mins before the ticket time to ensure a smooth experience. Also, if there is bad weather, you wouldn’t be allowed to go to the top floor, but would be refunded or choose an another day as per your choice."
Rosh Wang,5/5,"I would opt for 7 stars if possible as staffs are most courteous, able to provide great service and whole place is well kept, grandeur and has good signage everywhere.
Excellent location for businesses, events or simply a relaxing day or evening.
Great for meetings, exhibitions and conventions. Plus also fantastic shopping at the Shoppes with loads of luxury international brands.","a month ago on
Google",Google,2025-09-13 10:02:46,en,"I would opt for 7 stars if possible as staffs are most courteous, able to provide great service and whole place is well kept, grandeur and has good signage everywhere.
Excellent location for businesses, events or simply a relaxing day or evening.
Great for meetings, exhibitions and conventions. Plus also fantastic shopping at the Shoppes with loads of luxury international brands."
S J,4/5,"Marina Bay Sands is truly a symbol of Singapore, and it’s a place I visit every year.

With so many rooms and guests, compared to other hotels of the same class, it doesn’t give the feeling of personalized care while moving around the hotel. However, the service at the lobby and concierge is excellent.

A few years ago, the hotel underwent a major renovation, and the rooms have been updated to a higher standard, which I’m really happy with. Since COVID, hotel prices in Singapore have risen across the board, and Marina Bay Sands is no exception. It’s now hard to find a room for under $700 a night.

Still, the signature infinity pool is something you just can’t miss :) I often bring guests here, and the growing number of F&B outlets offers a variety of options, which is very satisfying.","2 weeks ago on
Google",Google,2025-09-13 10:02:52,en,"Marina Bay Sands is truly a symbol of Singapore, and it’s a place I visit every year.

With so many rooms and guests, compared to other hotels of the same class, it doesn’t give the feeling of personalized care while moving around the hotel. However, the service at the lobby and concierge is excellent.

A few years ago, the hotel underwent a major renovation, and the rooms have been updated to a higher standard, which I’m really happy with. Since COVID, hotel prices in Singapore have risen across the board, and Marina Bay Sands is no exception. It’s now hard to find a room for under $700 a night.

Still, the signature infinity pool is something you just can’t miss :) I often bring guests here, and the growing number of F&B outlets offers a variety of options, which is very satisfying."
Annie TKY,5/5,"Swimming pool on rooftop is a MUST to visit,  you can see almost full view of singapore.
Room is big with free water, coffee capsules, tea bags and welcome candy.
To say if it worth the price, I would comment it worth that price in Singapore.
Everything is good.","2 weeks ago on
Google",Google,2025-09-13 10:02:59,en,"Swimming pool on rooftop is a MUST to visit,  you can see almost full view of singapore.
Room is big with free water, coffee capsules, tea bags and welcome candy.
To say if it worth the price, I would comment it worth that price in Singapore.
Everything is good."
Francisco Gallo,5/5,"Edgardo, The Bell Man, from Guest Services was absolutely the best employee in the entire country of Singapore. He really worked for it. Courteous, hooked up a ride, saved us a lot of money. Spectacular worker who really goes above and beyond. I will revisit Singapore just to see my man Edgardo doing what he does best. What a legend.","a month ago on
Google",Google,2025-09-13 10:03:05,en,"Edgardo, The Bell Man, from Guest Services was absolutely the best employee in the entire country of Singapore. He really worked for it. Courteous, hooked up a ride, saved us a lot of money. Spectacular worker who really goes above and beyond. I will revisit Singapore just to see my man Edgardo doing what he does best. What a legend."
