reviewer_name,review_date,review_title,review_text,review_score,date_of_stay,trip_type,reviewer_country,title_detected_lang,title_translated,review_detected_lang,review_translated
Sapir,Sep 19,Honeymoon in MBS,"Amazing hotel and hospitality. The room is fabulous. The views, both from the room and the pool are amazing and you shouldn't miss it both in sunset and at night. If you're a gym rat, don't you dare miss the gym. Best hotel gym I've had, and the crew are extremely nice and helpful. We had our honeymoon.",5 of 5 bubbles,September 2025,Traveled as a couple,4 contributions,en,Honeymoon in MBS,en,"Amazing hotel and hospitality. The room is fabulous. The views, both from the room and the pool are amazing and you shouldn't miss it both in sunset and at night. If you're a gym rat, don't you dare miss the gym. Best hotel gym I've had, and the crew are extremely nice and helpful. We had our honeymoon."
Renjielyn G,Sep 19,Great Experience and Service!,Xy and nelly provided great service! very attentive and nice! xy always had a smile on her face. nelly was always checking if i was ok and made sure i was comfortable. thoroughly enjoyed the service!,5 of 5 bubbles,September 2025,Traveled with family,1 contribution,en,Great Experience and Service!,en,Xy and nelly provided great service! very attentive and nice! xy always had a smile on her face. nelly was always checking if i was ok and made sure i was comfortable. thoroughly enjoyed the service!
Carson Y,Sep 18,Best hotel in world.,"Mbs is very very enjoy and relax hotel. Their room service also very polite, kind and passion. Specials thanks to Mr. Venkatesh for awesome service.",5 of 5 bubbles,September 2025,Traveled with friends,1 contribution,en,Best hotel in world.,en,"Mbs is very very enjoy and relax hotel. Their room service also very polite, kind and passion. Specials thanks to Mr. Venkatesh for awesome service."
DL,Sep 18,Amazing service!,"Amazing time at the pool. Guna provided exceptional service and was so friendly and helpful!

Absolutely recommend it!",5 of 5 bubbles,September 2025,Traveled with friends,2 contributions,en,Amazing service!,en,"Amazing time at the pool. Guna provided exceptional service and was so friendly and helpful!

Absolutely recommend it!"
Marek K,Sep 17,After a rough start they won us over like no other hotel. What memories we created there.,"We had been looking forward to our stay at Marina Bay Sands for a very long time and our expectations were set extremely high. Unfortunately not everything went smoothly from the very beginning. I would not hesitate to call our initial experience a real disaster to the extent that my first impression and evaluation were completely opposite. I was very disappointed and, to be honest, upset.

However mistakes can happen in any hotel or company and the most important thing is how the property responds when issues arise. In this case the reaction was absolutely exemplary. Thanks to the incredible care of Mr. Viktor M. and his team with special mention to Shataz H. and her team, room stylist Htet P., the airport transfer driver and the assistant at the airport (my sincere apologies for not remembering all the names) they managed to turn an unpleasant situation into an unforgettable experience and a memory of a lifetime. For this I will be grateful until the end of my life not only for how they faced the problems head on but also for everything they did for us. I feel humbled, grateful and happy that everything eventually turned out more than excellent, although at the same time sad that our twelve day stay in Singapore has already come to an end.

Next time during our fourth visit we were originally planning only a stopover and as I am professionally from the travel industry we wanted to explore more of the iconic hotels Singapore has to offer. However after what Marina Bay Sands has provided us this time I am now seriously considering remaining loyal to Marina Bay Sands and its team for all our future stays in Singapore.

Thank you for everything and I very much look forward to any future reunion. I wish the entire team all the best and many more satisfied guests like my wife and me.

Now a few words about the rooms, restaurants, pool and other attractions that Marina Bay Sands operates around the hotel. The rooms are modern, luxurious and above all clean. The room stylists are very well trained, they pay attention to the smallest details and are able to notice tiny things that would never cross my mind. From the restaurants we had the chance to try the newly renovated Lavo which was one hundred percent, Wakuda one hundred percent, Spago one hundred percent and Rise ninety percent only because of occasional chaos during breakfast service. The infinity pool does not really need any introduction and there is nothing to add that has not already been said a million times. For us it is one hundred percent. The attractions in the area such as the ArtScience Museum, The Shoppes, the casino and others were all one hundred percent. The hotel services that we had the chance to try were also one hundred percent. The location is unbeatable. For most tourists Marina Bay Sands is the centerpiece of their exploration of Singapore. The price may seem high at first glance especially when compared with competitors but based on our own experience I must say it is more than reasonable. The value for money is in my opinion very advantageous. Communication is the category that is hardest for me to evaluate because in the beginning it did not work well on several levels. However once the problems started to be addressed it was on such a level that it became a great inspiration for me. Especially thanks to the already mentioned Viktor M. and Shataz H. You did such a great job.",5 of 5 bubbles,September 2025,Traveled as a couple,"Prague, Czech Republic",en,After a rough start they won us over like no other hotel. What memories we created there.,en,"We had been looking forward to our stay at Marina Bay Sands for a very long time and our expectations were set extremely high. Unfortunately not everything went smoothly from the very beginning. I would not hesitate to call our initial experience a real disaster to the extent that my first impression and evaluation were completely opposite. I was very disappointed and, to be honest, upset.

However mistakes can happen in any hotel or company and the most important thing is how the property responds when issues arise. In this case the reaction was absolutely exemplary. Thanks to the incredible care of Mr. Viktor M. and his team with special mention to Shataz H. and her team, room stylist Htet P., the airport transfer driver and the assistant at the airport (my sincere apologies for not remembering all the names) they managed to turn an unpleasant situation into an unforgettable experience and a memory of a lifetime. For this I will be grateful until the end of my life not only for how they faced the problems head on but also for everything they did for us. I feel humbled, grateful and happy that everything eventually turned out more than excellent, although at the same time sad that our twelve day stay in Singapore has already come to an end.

Next time during our fourth visit we were originally planning only a stopover and as I am professionally from the travel industry we wanted to explore more of the iconic hotels Singapore has to offer. However after what Marina Bay Sands has provided us this time I am now seriously considering remaining loyal to Marina Bay Sands and its team for all our future stays in Singapore.

Thank you for everything and I very much look forward to any future reunion. I wish the entire team all the best and many more satisfied guests like my wife and me.

Now a few words about the rooms, restaurants, pool and other attractions that Marina Bay Sands operates around the hotel. The rooms are modern, luxurious and above all clean. The room stylists are very well trained, they pay attention to the smallest details and are able to notice tiny things that would never cross my mind. From the restaurants we had the chance to try the newly renovated Lavo which was one hundred percent, Wakuda one hundred percent, Spago one hundred percent and Rise ninety percent only because of occasional chaos during breakfast service. The infinity pool does not really need any introduction and there is nothing to add that has not already been said a million times. For us it is one hundred percent. The attractions in the area such as the ArtScience Museum, The Shoppes, the casino and others were all one hundred percent. The hotel services that we had the chance to try were also one hundred percent. The location is unbeatable. For most tourists Marina Bay Sands is the centerpiece of their exploration of Singapore. The price may seem high at first glance especially when compared with competitors but based on our own experience I must say it is more than reasonable. The value for money is in my opinion very advantageous. Communication is the category that is hardest for me to evaluate because in the beginning it did not work well on several levels. However once the problems started to be addressed it was on such a level that it became a great inspiration for me. Especially thanks to the already mentioned Viktor M. and Shataz H. You did such a great job."
DJ Ou C,Sep 17,Perfect time,"Amazing experience, it was perfect!
Good service, everything.
Great view, delicious tea.
Great crew, Lisa, Sand and XY",5 of 5 bubbles,September 2025,Traveled as a couple,2 contributions,en,Perfect time,en,"Amazing experience, it was perfect!
Good service, everything.
Great view, delicious tea.
Great crew, Lisa, Sand and XY"
Margo N,Sep 17,Great service at the pool,My husband and I had the best time at the infinity pool on his birthday. Excellent service by Ravi and Guna! Can’t wait to come back again!,5 of 5 bubbles,September 2025,Traveled as a couple,"Nantong, China",en,Great service at the pool,en,My husband and I had the best time at the infinity pool on his birthday. Excellent service by Ravi and Guna! Can’t wait to come back again!
Romina M,Sep 17,Amazing.,"Amazing staff from reception to gym staff, and man on the rooftop above.... Best Service, Make You Feel At Home",5 of 5 bubbles,September 2025,Traveled with family,2 contributions,en,Amazing.,en,"Amazing staff from reception to gym staff, and man on the rooftop above.... Best Service, Make You Feel At Home"
Diana M,Sep 17,Excellent Service,"Excellent Service and attention from all staff. From reception to the pool! At the Roof, Man looked after us amazing & we enjoyed a beautiful view. Excellent gym staff!",5 of 5 bubbles,September 2025,Traveled with family,2 contributions,en,Excellent Service,en,"Excellent Service and attention from all staff. From reception to the pool! At the Roof, Man looked after us amazing & we enjoyed a beautiful view. Excellent gym staff!"
William V,Sep 16,Amazing massage,What An amazing massage from Yaneli!!! The service from registration with Xin Yi to the massage was exceptional!! Definitely coming back!!!,5 of 5 bubbles,September 2025,Traveled with friends,5 contributions,en,Amazing massage,en,What An amazing massage from Yaneli!!! The service from registration with Xin Yi to the massage was exceptional!! Definitely coming back!!!
Chiara M,Sep 16,Wonderful is to say little!,"5 stars is not enough for this place! We stayed 2 nights with our children aged 6 and 11 in a family suite that is a real luxury apartment provided you anything you could wish for .. both in the bathroom accessories of all kinds and in the kitchen .. in the children's room there are even coloring books, pastels, various gifts and the nintendo .. the price is certainly not low but it is worth the lived experience that at least once in a lifetime and 'to do! Perfect Service, amazing rooftop pool! Maybe you could manage the queue at the breakfast buffet a little better, but Anyway thanks and congratulations for everything!",5 of 5 bubbles,August 2025,Traveled with family,"Bergamo, Italy",en,Wonderful is to say little!,en,"5 stars is not enough for this place! We stayed 2 nights with our children aged 6 and 11 in a family suite that is a real luxury apartment provided you anything you could wish for .. both in the bathroom accessories of all kinds and in the kitchen .. in the children's room there are even coloring books, pastels, various gifts and the nintendo .. the price is certainly not low but it is worth the lived experience that at least once in a lifetime and 'to do! Perfect Service, amazing rooftop pool! Maybe you could manage the queue at the breakfast buffet a little better, but Anyway thanks and congratulations for everything!"
Getaway03720528508,Sep 16,Relax,Nice and appropriate speaking counter ladies. Loves the gym equipments and environment. I loves the coffee. And i do push day and worth to come. Got cold towel too,5 of 5 bubbles,September 2025,Traveled with family,1 contribution,en,Relax,en,Nice and appropriate speaking counter ladies. Loves the gym equipments and environment. I loves the coffee. And i do push day and worth to come. Got cold towel too
Sunshine24880746151,Sep 15,Honeymoon Spa,"I experienced it for an hour.
It was a wonderful time to get rid of the fatigue of the trip.
Jane, who was in charge, healed every inch of my body.",5 of 5 bubbles,September 2025,Traveled as a couple,1 contribution,en,Honeymoon Spa,en,"I experienced it for an hour.
It was a wonderful time to get rid of the fatigue of the trip.
Jane, who was in charge, healed every inch of my body."
Go04732617734,Sep 15,It was a great time.,I had Lisa in charge of it and it was a really great experience. I was able to relax in a quiet space. I hope you will do it when you visit again.,5 of 5 bubbles,September 2025,Traveled as a couple,1 contribution,en,It was a great time.,en,I had Lisa in charge of it and it was a really great experience. I was able to relax in a quiet space. I hope you will do it when you visit again.
TRAVELLER WORLD,Sep 15,Amazing building,"The Marina Bay Sands is probably the most iconic and spectacular building in Singapore. Its unique architecture, made up of three towers linked at the top by a huge boat-shaped platform, makes it a symbol of the city and one of the most recognizable images in the world.

As soon as you enter, the main hall impresses with its dimensions. It is a huge, elegant and modern space, full of restaurants of all kinds, cafes and luxury shops. The Mood is vibrant and cosmopolitan, with visitors from all over the world coming both to stay and simply to see the place.

Restaurants and bars with unparalleled panoramic views of Singapore can be found on the upper floors. From there you can see the bay, the skyscrapers of the financial center and nearby attractions such as the Gardens by the Bay or the Cloud Forest. Many visitors recommend taking to the SkyPark Observation Deck to enjoy the sunset or the illuminated city at night.

Another big attraction is the rooftop infinity pool, exclusive to hotel guests. It is one of the most famous swimming pools in the world as it gives the feeling of being literally swimming over the Singapore skyline. Although not everyone can access it, just seeing it in photos or from outside the building is already impressive.

Marina Bay Sands is not just a hotel: it is a complete leisure complex. Inside is a large luxury shopping mall with international boutiques, a world-class casino, an art and science museum with very interesting exhibitions and even a theater with shows. Everything is connected to Marina Bay and integrates seamlessly with other area attractions, such as the ArtScience Museum, Gardens by the Bay, the Cloud Forest and the Helix Bridge.",5 of 5 bubbles,September 2025,Traveled as a couple,"Bangkok, Thailand",en,Amazing building,en,"The Marina Bay Sands is probably the most iconic and spectacular building in Singapore. Its unique architecture, made up of three towers linked at the top by a huge boat-shaped platform, makes it a symbol of the city and one of the most recognizable images in the world.

As soon as you enter, the main hall impresses with its dimensions. It is a huge, elegant and modern space, full of restaurants of all kinds, cafes and luxury shops. The Mood is vibrant and cosmopolitan, with visitors from all over the world coming both to stay and simply to see the place.

Restaurants and bars with unparalleled panoramic views of Singapore can be found on the upper floors. From there you can see the bay, the skyscrapers of the financial center and nearby attractions such as the Gardens by the Bay or the Cloud Forest. Many visitors recommend taking to the SkyPark Observation Deck to enjoy the sunset or the illuminated city at night.

Another big attraction is the rooftop infinity pool, exclusive to hotel guests. It is one of the most famous swimming pools in the world as it gives the feeling of being literally swimming over the Singapore skyline. Although not everyone can access it, just seeing it in photos or from outside the building is already impressive.

Marina Bay Sands is not just a hotel: it is a complete leisure complex. Inside is a large luxury shopping mall with international boutiques, a world-class casino, an art and science museum with very interesting exhibitions and even a theater with shows. Everything is connected to Marina Bay and integrates seamlessly with other area attractions, such as the ArtScience Museum, Gardens by the Bay, the Cloud Forest and the Helix Bridge."
Fuat Ö,Sep 15,Muhteşem,I came with my friend and they took great care of us. It was a wonderful experience. Great massage. We would like to come back on the first opportunity and experience again.,5 of 5 bubbles,September 2025,Traveled with friends,1 contribution,tr,Wonderful,en,I came with my friend and they took great care of us. It was a wonderful experience. Great massage. We would like to come back on the first opportunity and experience again.
Pablo Vázquez,Sep 14,A spectacular experience,"Amazing experience at this world-class hotel. I hope you give yourselves a chance to meet him soon. The pool that's up just a show at sunset and at night. Very comfortable rooms and stunning view. Service and first class care. The gym has everything to make full body. The cleanliness of 10 and the excellent service, particularly from LUCY. Congratulations because this hotel has everything someone tastefully looking for.",5 of 5 bubbles,September 2025,Traveled with friends,8 contributions,en,A spectacular experience,en,"Amazing experience at this world-class hotel. I hope you give yourselves a chance to meet him soon. The pool that's up just a show at sunset and at night. Very comfortable rooms and stunning view. Service and first class care. The gym has everything to make full body. The cleanliness of 10 and the excellent service, particularly from LUCY. Congratulations because this hotel has everything someone tastefully looking for."
Gianna,Sep 13,Unique experience,"Better than we expected. Giant lobby with floral sculptures, knowledgeable and very kind staff, early check in that allowed us to take advantage of the famous infinity pool all morning. Room on the 28th floor Tower 1 with balcony overlooking Gardens to enjoy the evening light show from above. Bathroom with large shower, whirlpool bath, double sinks and 5-star equipment. Dinner in the room served accurately, room arranged every time we went out and for the night in addition to chocolates also the relaxing scent for the pillows. Breakfast wow with several high quality ethnic and continental choices. rooftop observatory, luxury shops and casinos in the basements connecting the 3 towers",5 of 5 bubbles,July 2025,Traveled as a couple,"Catanzaro, Italy",en,Unique experience,en,"Better than we expected. Giant lobby with floral sculptures, knowledgeable and very kind staff, early check in that allowed us to take advantage of the famous infinity pool all morning. Room on the 28th floor Tower 1 with balcony overlooking Gardens to enjoy the evening light show from above. Bathroom with large shower, whirlpool bath, double sinks and 5-star equipment. Dinner in the room served accurately, room arranged every time we went out and for the night in addition to chocolates also the relaxing scent for the pillows. Breakfast wow with several high quality ethnic and continental choices. rooftop observatory, luxury shops and casinos in the basements connecting the 3 towers"
Mark D,Sep 12,Wedding Anniversary Stay,"We stayed in MBS for 3 nights to celebrate our 25th wedding anniversary. It proved to be the most amazing 3 days of fantastic memories. The hotel is amazing, the service is out of this world and a special thank you to Eunice, Erwyn and Mark from premium services. They are all exceptionally good at there jobs and made us feel very welcomed and at home and could not do enough for us. The food in every restaurant is world class and the experience of the Sky deck is unforgettable. We hope to be back very soon.",5 of 5 bubbles,September 2025,Traveled as a couple,1 contribution,en,Wedding Anniversary Stay,en,"We stayed in MBS for 3 nights to celebrate our 25th wedding anniversary. It proved to be the most amazing 3 days of fantastic memories. The hotel is amazing, the service is out of this world and a special thank you to Eunice, Erwyn and Mark from premium services. They are all exceptionally good at there jobs and made us feel very welcomed and at home and could not do enough for us. The food in every restaurant is world class and the experience of the Sky deck is unforgettable. We hope to be back very soon."
Voyage27710379474,Sep 12,"Thanks For Premium Services,Eunice","I would like to take a moment to express my sincere gratitude for the outstanding service provided by Eunice during our recent stay on September 10th.

From the moment we arrived, Eunice warmly welcomed us and personally guided us through the check-in process in our room. Throughout our stay, her attentiveness and genuine hospitality made us feel truly comfortable and well taken care of.

What touched us most were the thoughtful gestures she prepared for my father’s birthday. From singing the birthday song to arranging champagne and cake in the evening, Eunice went above and beyond to create an unforgettable and meaningful celebration for our family.

Her professionalism, warmth, and dedication reflect the highest standards of hospitality, and we deeply appreciate her efforts in making our stay so memorable. Please kindly extend our heartfelt thanks and recognition to Eunice.

We look forward to returning in the future and hope to see her again.

With gratitude,
Liao Family",5 of 5 bubbles,September 2025,Traveled with family,1 contribution,en,"Thanks For Premium Services,Eunice",en,"I would like to take a moment to express my sincere gratitude for the outstanding service provided by Eunice during our recent stay on September 10th.

From the moment we arrived, Eunice warmly welcomed us and personally guided us through the check-in process in our room. Throughout our stay, her attentiveness and genuine hospitality made us feel truly comfortable and well taken care of.

What touched us most were the thoughtful gestures she prepared for my father’s birthday. From singing the birthday song to arranging champagne and cake in the evening, Eunice went above and beyond to create an unforgettable and meaningful celebration for our family.

Her professionalism, warmth, and dedication reflect the highest standards of hospitality, and we deeply appreciate her efforts in making our stay so memorable. Please kindly extend our heartfelt thanks and recognition to Eunice.

We look forward to returning in the future and hope to see her again.

With gratitude,
Liao Family"
Stevexyz2003,Sep 10,An absolute dream this world-class hotel,"Recommendation for Marina Bay Sands

A stay at Marina Bay Sands is simply a dream – an absolute top class hotel!

As soon as you enter, you will be impressed by the stylish elegance and high-quality, beautiful furnishings of the rooms. Everything is thought through to the smallest detail and exudes luxury and comfort.

I would particularly like to highlight the outstanding Service: super friendly, attentive, warm and always striving to fulfill every wish of the guests – I have hardly experienced anything like this worldwide.

The breakfast buffet is the most varied and best I have ever enjoyed – a true culinary journey around the globe.

The rooftop infinity pool, the largest and best in the world, is an incomparable experience. The view over Singapore alone is breathtaking and unforgettable.

In addition, there are the great shopping opportunities right in the house as well as numerous other offers that complete the stay and make it perfect.

For me, Marina Bay Sands is a dream hotel unparalleled in quality, Service and uniqueness. Every stay here is a special experience that you will never forget.",5 of 5 bubbles,September 2025,Traveled as a couple,"Bretten, Germany",en,An absolute dream this world-class hotel,en,"Recommendation for Marina Bay Sands

A stay at Marina Bay Sands is simply a dream – an absolute top class hotel!

As soon as you enter, you will be impressed by the stylish elegance and high-quality, beautiful furnishings of the rooms. Everything is thought through to the smallest detail and exudes luxury and comfort.

I would particularly like to highlight the outstanding Service: super friendly, attentive, warm and always striving to fulfill every wish of the guests – I have hardly experienced anything like this worldwide.

The breakfast buffet is the most varied and best I have ever enjoyed – a true culinary journey around the globe.

The rooftop infinity pool, the largest and best in the world, is an incomparable experience. The view over Singapore alone is breathtaking and unforgettable.

In addition, there are the great shopping opportunities right in the house as well as numerous other offers that complete the stay and make it perfect.

For me, Marina Bay Sands is a dream hotel unparalleled in quality, Service and uniqueness. Every stay here is a special experience that you will never forget."
Rachelle W,Sep 10,Amazing yoga class,"⭐️⭐️⭐️⭐️⭐️
I had such an incredible experience doing yoga at Marina Bay Sands! 🧘‍♀️✨ Practicing with the stunning view of the Singapore skyline and infinity pool was absolutely unforgettable. The instructor was calming, professional, and really helped guide us through a flow that was both grounding and energizing. The atmosphere was peaceful yet uplifting — the perfect balance for body and mind.

It’s such a unique setting to practice in, and I walked away feeling refreshed, centered, and grateful. Highly recommend this experience to anyone visiting Singapore — whether you’re new to yoga or an experienced practitioner, it’s truly special. 🙏",5 of 5 bubbles,September 2025,Traveled solo,1 contribution,en,Amazing yoga class,en,"⭐️⭐️⭐️⭐️⭐️
I had such an incredible experience doing yoga at Marina Bay Sands! 🧘‍♀️✨ Practicing with the stunning view of the Singapore skyline and infinity pool was absolutely unforgettable. The instructor was calming, professional, and really helped guide us through a flow that was both grounding and energizing. The atmosphere was peaceful yet uplifting — the perfect balance for body and mind.

It’s such a unique setting to practice in, and I walked away feeling refreshed, centered, and grateful. Highly recommend this experience to anyone visiting Singapore — whether you’re new to yoga or an experienced practitioner, it’s truly special. 🙏"
Giuseppe R,Sep 10,"Really very nice people, with excellent Service especially for employees Jj, Laura and Alex, pool","Everything perfect and as we had always wanted and dreamed. The pool is wonderful and we were greeted with extreme kindness and helpfulness by Laura, Alex and JJ.
Thank you for helping to make our honeymoon unique and unforgettable!",5 of 5 bubbles,September 2025,Traveled as a couple,"Torre Del Greco, Italy",en,"Really very nice people, with excellent Service especially for employees Jj, Laura and Alex, pool",en,"Everything perfect and as we had always wanted and dreamed. The pool is wonderful and we were greeted with extreme kindness and helpfulness by Laura, Alex and JJ.
Thank you for helping to make our honeymoon unique and unforgettable!"
